product_id,item_name,price,gender,category,product_link,model_image_link,image_link
E481334-000,Art UT Graphic T-Shirt | Mickey Mouse,39.9,men,tops,https://www.uniqlo.com/us/en/products/E481334-000,,
E481331-000,Art UT Graphic T-Shirt | Donald Duck,39.9,men,tops,https://www.uniqlo.com/us/en/products/E481331-000,,
E481327-000,Art UT Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E481327-000,,
E481330-000,Art UT Graphic T-Shirt | Mickey Mouse,39.9,men,tops,https://www.uniqlo.com/us/en/products/E481330-000,,
E481333-000,Art UT Graphic T-Shirt | Steamboat Willie,39.9,men,tops,https://www.uniqlo.com/us/en/products/E481333-000,,
E485079-000,Chainsaw Man UT Graphic T-Shirt | Pochita,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485079-000,,
E481430-000,Protection Cap | Jean-Michel Basquiat,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E481430-000,,
E481430-001,Protection Cap | Jean-Michel Basquiat,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E481430-001,,
E481670-000,"Brands Nostalgia, Modern Twist UT Graphic T-Shirt | Wendys",39.9,men,tops,https://www.uniqlo.com/us/en/products/E481670-000,,
E479714-000,Sweatshirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E479714-000,,
E481057-000,Sweatshirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E481057-000,,
E481055-000,Sweatshirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E481055-000,,
E481056-000,Sweatshirt,19.9,men,tops,https://www.uniqlo.com/us/en/products/E481056-000,,
E481058-000,Sweatshirt,19.9,men,tops,https://www.uniqlo.com/us/en/products/E481058-000,,
E481436-000,Straight Stretch Jeans,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E481436-000,,
E479821-000,Straight Pants | Denim,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479821-000,,
E473319-000,Straight Jeans | Tall,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E473319-000,,
E461420-000,Easy Ankle Pants | Denim,19.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E461420-000,,
E481255-000,Ankle Jeans,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E481255-000,,
E470542-000,Straight Jeans,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E470542-000,,
E463970-000,Ankle Jeans,19.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E463970-000,,
E418910-000,Selvedge Slim Jeans,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E418910-000,,
E455476-000,Ultra Stretch Jeans,19.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E455476-000,,
E459688-000,Jeans,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E459688-000,,
E479816-000,Jeans,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479816-000,,
E462197-000,Wide Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E462197-000,,
E481493-000,Wide Pants | Tweed Patterned,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E481493-000,,
E481098-000,Wide Pants | Herringbone,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E481098-000,,
E479369-000,Wide Pants | Brushed Twill,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479369-000,,
E479822-000,Utility Pants,19.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E479822-000,,
E479817-000,Work Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479817-000,,
E479383-000,Pants,19.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E479383-000,,
E479819-000,Wide Tapered Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479819-000,,
E479847-000,Wide Sweatpants,19.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E479847-000,,
E482884-000,Chino Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E482884-000,,
E487636-000,Chino Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E487636-000,,
E479823-000,Straight Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479823-000,,
E470549-000,Fit Chino Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E470549-000,,
E467769-000,Stretch DRY-EX Tapered Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E467769-000,,
E478487-000,Stretch Pants | Tall,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E478487-000,,
E475598-000,Stretch Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E475598-000,,
E479424-000,Chino Pants | Relaxed,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479424-000,,
E450251-000,Chino Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E450251-000,,
E462429-000,Wide Pants | Tall,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E462429-000,,
E478290-000,Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E478290-000,,
E473177-000,Easy Cargo Pants,19.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E473177-000,,
E479382-000,Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479382-000,,
E463957-000,Pants,19.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E463957-000,,
E465206-000,Stretch Active Jogger Pants,19.9,men,bottoms,https://www.uniqlo.com/us/en/products/E465206-000,,
E479134-000,Easy Ankle Pants,49.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E479134-000,,
E479375-000,Lined Pants,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479375-000,,
E479372-000,Stretch Pants,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479372-000,,
E479938-000,Easy Ankle Pants | Checked,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479938-000,,
E479940-000,Easy Ankle Pants | Checked,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479940-000,,
E479933-000,Fleece Easy Ankle Pants,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479933-000,,
E479942-000,Easy Ankle Pants | Checked,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479942-000,,
E479941-000,Easy Ankle Pants | Checked,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479941-000,,
E477875-000,Sweatpants,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E477875-000,,
E482914-000,Wide Pants | Tall,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E482914-000,,
E485451-000,Sweatpants,49.9,men,bottoms,https://www.uniqlo.com/us/en/products/E485451-000,,
E463870-000,"Shorts | 8""",29.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E463870-000,,
E455533-000,"Slim Shorts | 9""",29.9,men,bottoms,https://www.uniqlo.com/us/en/products/E455533-000,,
E477577-000,"Shorts | 7""",29.9,men,bottoms,https://www.uniqlo.com/us/en/products/E477577-000,,
E458245-000,"Shorts | 7""",29.9,men,bottoms,https://www.uniqlo.com/us/en/products/E458245-000,,
E477753-000,"Stretch Active Shorts | 5""",29.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E477753-000,,
E470632-000,"Shorts | 7""",29.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E470632-000,,
E476225-000,"Wide Shorts | 9""",29.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E476225-000,,
E476081-000,Easy Shorts,29.9,unisex,bottoms,https://www.uniqlo.com/us/en/products/E476081-000,,
E477660-000,"Blend Easy Shorts | 5""",29.9,men,bottoms,https://www.uniqlo.com/us/en/products/E477660-000,,
E458325-000,"Stretch Easy Shorts | Seersucker | 8""",29.9,men,bottoms,https://www.uniqlo.com/us/en/products/E458325-000,,
E458325-000,"Stretch Easy Shorts | Seersucker | 8""",29.9,men,bottoms,https://www.uniqlo.com/us/en/products/E458325-000,,
E477660-000,"Blend Easy Shorts | 5""",29.9,men,bottoms,https://www.uniqlo.com/us/en/products/E477660-000,,
E474127-000,Cotton Easy Shorts,29.9,men,bottoms,https://www.uniqlo.com/us/en/products/E474127-000,,
E479939-000,Easy Ankle Pants,39.9,men,bottoms,https://www.uniqlo.com/us/en/products/E479939-000,,
E479668-000,Tailored Jacket,99.9,women,outerwear,https://www.uniqlo.com/us/en/products/E479668-000,,
E481429-000,Stand Collar Shirt Jacket,99.9,women,outerwear,https://www.uniqlo.com/us/en/products/E481429-000,,
E482767-000,Jacket,99.9,unisex,outerwear,https://www.uniqlo.com/us/en/products/E482767-000,,
