product_id,item_name,price,gender,category,product_link,model_image_link,image_link,num_id
E471601-000,Cashmere Blend T-Shirt | Extra Warm | Turtleneck,19.9,women,tops,https://www.uniqlo.com/us/en/products/E471601-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/471601/item/usgoods_69_471601_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/471601/sub/goods_471601_sub14_3x4.jpg,471601
E465185-000,Cotton Oversized T-Shirt | Half-Sleeve,19.9,unisex,tops,https://www.uniqlo.com/us/en/products/E465185-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465185/item/usgoods_00_465185_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465185/sub/goods_465185_sub14_3x4.jpg,465185
E465193-000,Cotton T-Shirt | Long Sleeve,19.9,unisex,tops,https://www.uniqlo.com/us/en/products/E465193-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465193/sub/usgoods_465193_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465193/sub/goods_465193_sub14_3x4.jpg,465193
E422992-000,Neck T-Shirt,19.9,unisex,tops,https://www.uniqlo.com/us/en/products/E422992-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/422992/sub/usgoods_422992_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/422992/sub/goods_422992_sub14_3x4.jpg,422992
E457517-000,Cotton T-Shirt | Sleeveless,24.9,men,tops,https://www.uniqlo.com/us/en/products/E457517-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/457517/item/usgoods_00_457517_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/457517/sub/goods_457517_sub14_3x4.jpg,457517
E474244-000,Cotton T-Shirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E474244-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/474244/item/usgoods_69_474244_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/474244/sub/goods_474244_sub14_3x4.jpg,474244
E454315-000,Cotton T-Shirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E454315-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/454315/item/usgoods_69_454315_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/454315/sub/goods_454315_sub14_3x4.jpg,454315
E481442-000,Extra Warm Cashmere Blend Turtleneck,24.9,men,tops,https://www.uniqlo.com/us/en/products/E481442-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/481442/item/usgoods_30_481442_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/481442/sub/goods_481442_sub14_3x4.jpg,481442
E481441-000,Extra Warm Cashmere Blend T-Shirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E481441-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/481441/item/usgoods_30_481441_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/481441/sub/goods_481441_sub14_3x4.jpg,481441
E476141-000,T-Shirt | Printed,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E476141-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/476141/sub/usgoods_476141_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476141/sub/goods_476141_sub14_3x4.jpg,476141
E465189-000,Color Ribbed Tank Top,24.9,men,tops,https://www.uniqlo.com/us/en/products/E465189-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465189/item/usgoods_69_465189_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465189/sub/goods_465189_sub14_3x4.jpg,465189
E465187-000,Color T-Shirt,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E465187-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465187/item/usgoods_69_465187_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465187/sub/goods_465187_sub14_3x4.jpg,465187
E450179-000,Brushed T-Shirt | Long Sleeve,24.9,men,tops,https://www.uniqlo.com/us/en/products/E450179-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/450179/sub/usgoods_450179_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/450179/sub/goods_450179_sub14_3x4.jpg,450179
E460318-000,Waffle T-Shirt | Long Sleeve,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E460318-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/481177/item/usgoods_32_481177_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/460318/sub/goods_460318_sub14_3x4.jpg,460318
E481177-000,Waffle T-Shirt | Long Sleeve,24.9,men,tops,https://www.uniqlo.com/us/en/products/E481177-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/481177/sub/usgoods_481177_sub1_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/481177/sub/goods_481177_sub14_3x4.jpg,481177
E479791-000,Soft Knitted Fleece T-Shirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E479791-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479791/sub/usgoods_479791_sub4_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479791/sub/goods_479791_sub14_3x4.jpg,479791
E461003-000,HEATTECH T-Shirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E461003-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/461003/item/usgoods_08_461003_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/461003/sub/goods_461003_sub14_3x4.jpg,461003
E450529-000,Cotton T-Shirt | Extra Warm,24.9,men,tops,https://www.uniqlo.com/us/en/products/E450529-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/450529/sub/usgoods_450529_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/450529/sub/goods_450529_sub14_3x4.jpg,450529
E461011-000,Ultra Warm T-Shirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E461011-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/461011/item/usgoods_69_461011_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/461011/sub/goods_461011_sub14_3x4.jpg,461011
